Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
465,7293,12/06/2021 14:02,7163,12/06/2021 14:09,Annual Member,No
549,7293,12/06/2021 14:04,7121,12/06/2021 14:13,Annual Member,No
851,7293,12/06/2021 15:04,7067,12/06/2021 15:19,Annual Member,No
375,7338,12/06/2021 15:56,7094,12/06/2021 16:02,Casual Member,No
274,7293,12/06/2021 16:05,7389,12/06/2021 16:09,Annual Member,No
465,7293,12/06/2021 16:52,7089,12/06/2021 17:00,Casual Member,No
527,7293,12/06/2021 17:06,7474,12/06/2021 17:15,Annual Member,No
539,7293,12/06/2021 17:17,7281,12/06/2021 17:26,Annual Member,No
281,7293,12/06/2021 17:30,7163,12/06/2021 17:35,Annual Member,No
398,7293,12/06/2021 17:41,7055,12/06/2021 17:48,Casual Member,No
857,7293,12/06/2021 17:45,7042,12/06/2021 17:59,Annual Member,No
717,7293,12/06/2021 18:11,7042,12/06/2021 18:23,Annual Member,No
520,7293,12/06/2021 18:11,7121,12/06/2021 18:20,Annual Member,No
997,7662,12/06/2021 18:39,7682,12/06/2021 18:56,Casual Member,Yes
515,7293,12/06/2021 18:43,7121,12/06/2021 18:52,Annual Member,No
494,7293,12/06/2021 19:52,7114,12/06/2021 20:00,Annual Member,No
1103,7293,12/06/2021 19:52,7150,12/06/2021 20:10,Annual Member,Yes
1216,7293,12/06/2021 20:27,7183,12/06/2021 20:48,Annual Member,Yes
683,7293,12/06/2021 20:58,7281,12/06/2021 21:09,Annual Member,No
681,7293,12/06/2021 21:00,7013,12/06/2021 21:11,Casual Member,No
824,7338,12/07/2021 03:15,7357,12/07/2021 03:29,Casual Member,No
397,7293,12/07/2021 04:40,7281,12/07/2021 04:47,Annual Member,No
156,7107,12/07/2021 06:51,7492,12/07/2021 06:53,Casual Member,No
1152,7249,12/07/2021 08:38,7271,12/07/2021 08:57,Annual Member,Yes
992,7662,12/07/2021 09:28,7324,12/07/2021 09:45,Annual Member,Yes
130,7662,12/07/2021 09:51,7136,12/07/2021 09:53,Annual Member,No
1591,7338,12/07/2021 10:12,7096,12/07/2021 10:38,Casual Member,Yes
649,7293,12/07/2021 12:24,7335,12/07/2021 12:35,Annual Member,No
1734,7249,12/07/2021 13:06,7167,12/07/2021 13:35,Annual Member,Yes
403,7338,12/07/2021 15:39,7337,12/07/2021 15:45,Casual Member,No
1618,7338,12/07/2021 16:04,7651,12/07/2021 16:30,Annual Member,Yes
130,7338,12/07/2021 16:22,7346,12/07/2021 16:24,Annual Member,No
606,7293,12/07/2021 16:37,7038,12/07/2021 16:47,Annual Member,No
1302,7293,12/07/2021 17:02,7036,12/07/2021 17:24,Annual Member,Yes
452,7293,12/07/2021 17:04,7323,12/07/2021 17:11,Annual Member,No
517,7249,12/07/2021 17:09,7297,12/07/2021 17:17,Annual Member,No
678,7293,12/07/2021 17:09,7042,12/07/2021 17:21,Annual Member,No
495,7293,12/07/2021 17:50,7195,12/07/2021 17:58,Annual Member,No
556,7293,12/07/2021 17:50,7121,12/07/2021 17:59,Annual Member,No
262,7293,12/07/2021 17:51,7408,12/07/2021 17:56,Annual Member,No
925,7249,12/07/2021 18:08,7051,12/07/2021 18:24,Annual Member,Yes
240,7293,12/07/2021 18:22,7235,12/07/2021 18:26,Annual Member,No
1072,7293,12/07/2021 18:28,7150,12/07/2021 18:46,Annual Member,Yes
